epoch,opponent,win_rate
1019,DumbBot,80.0
1020,DumbBot,100.0
1021,DumbBot,100.0
1022,DumbBot,100.0
1023,DumbBot,60.0
1024,DumbBot,80.0
1025,DumbBot,100.0
1026,DumbBot,80.0
1027,DumbBot,100.0
1028,DumbBot,100.0
1029,DumbBot,100.0
1030,DumbBot,80.0
1031,DumbBot,100.0
1032,DumbBot,40.0
1033,DumbBot,60.0
1034,DumbBot,80.0
1035,DumbBot,80.0
1036,DumbBot,60.0
1037,DumbBot,80.0
1038,DumbBot,100.0
1039,DumbBot,100.0
1040,DumbBot,80.0
1041,DumbBot,100.0
1042,DumbBot,80.0
1043,DumbBot,100.0
1044,DumbBot,100.0
1045,DumbBot,80.0
1046,DumbBot,40.0
1047,DumbBot,60.0
1048,DumbBot,100.0
1049,DumbBot,100.0
1050,DumbBot,80.0
1051,DumbBot,40.0
1052,DumbBot,60.0
1053,DumbBot,100.0
1054,DumbBot,80.0
1055,DumbBot,80.0
1056,DumbBot,80.0
1057,DumbBot,80.0
1058,DumbBot,80.0
1059,DumbBot,60.0
1060,DumbBot,60.0
1061,DumbBot,100.0
1062,DumbBot,100.0
1063,DumbBot,100.0
1064,DumbBot,100.0
1065,DumbBot,60.0
1066,DumbBot,100.0
1067,DumbBot,80.0
1068,DumbBot,100.0
1069,DumbBot,40.0
1070,DumbBot,100.0
1071,DumbBot,80.0
1072,DumbBot,80.0
1073,DumbBot,80.0
1074,DumbBot,80.0
1075,DumbBot,100.0
1076,DumbBot,100.0
1077,DumbBot,80.0
1078,DumbBot,100.0
1079,DumbBot,80.0
1080,DumbBot,60.0
1081,DumbBot,80.0
1082,DumbBot,80.0
1083,DumbBot,80.0
1084,DumbBot,100.0
1085,DumbBot,80.0
1086,DumbBot,80.0
1087,DumbBot,60.0
1088,DumbBot,80.0
1089,DumbBot,100.0
1090,DumbBot,100.0
1091,DumbBot,100.0
1092,DumbBot,40.0
1093,DumbBot,100.0
1094,DumbBot,60.0
1095,DumbBot,100.0
1096,DumbBot,100.0
1097,DumbBot,80.0
1098,DumbBot,60.0
1099,DumbBot,80.0
1100,DumbBot,60.0
1101,DumbBot,100.0
1102,DumbBot,80.0
1103,DumbBot,100.0
1104,DumbBot,100.0
1105,DumbBot,100.0
1106,DumbBot,80.0
1107,DumbBot,80.0
1108,DumbBot,100.0
1109,DumbBot,80.0
1110,DumbBot,80.0
1111,DumbBot,100.0
1112,DumbBot,100.0
1113,DumbBot,40.0
1114,DumbBot,80.0
1115,DumbBot,80.0
1116,DumbBot,100.0
1117,DumbBot,60.0
1118,DumbBot,100.0
1119,DumbBot,80.0
1120,DumbBot,60.0
1121,DumbBot,80.0
1122,DumbBot,80.0
1123,DumbBot,80.0
1124,DumbBot,80.0
1125,DumbBot,80.0
1126,DumbBot,100.0
1127,DumbBot,80.0
1128,DumbBot,60.0
1129,DumbBot,80.0
1130,DumbBot,80.0
1131,DumbBot,60.0
1132,DumbBot,100.0
1133,DumbBot,80.0
1134,DumbBot,80.0
1135,DumbBot,60.0
1136,DumbBot,80.0
1137,DumbBot,100.0
1138,DumbBot,80.0
1139,DumbBot,100.0
1140,DumbBot,100.0
1141,DumbBot,100.0
1142,DumbBot,60.0
1143,DumbBot,80.0
1144,DumbBot,100.0
1145,DumbBot,100.0
1146,DumbBot,80.0
1147,DumbBot,100.0
